client_id,total_hours,clip_count,avg_clip_sec
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,107.0963967,58404,6.601380522
853d72391fef60049ee139a1e170b719bd0d9b8d4d13ebcd50a8a1e05303c73a1129284a7460e29bf4e30a19659e3d6ca4ef9eeaeec9336653e646c5c4fc0e7e,51.88917667,32693,5.713793044
a042182e6ebf78a6547ec308698d871de40b6656f75f0bb18d1e52469668a4a4cd4a0b2b59e8463f6e0060036b8732de5fbbc78cd45803c8ac8dc69f3db7322f,31.62954,21335,5.337067917
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06,23.49102667,16107,5.250369156
c942ac7dc9e12e64ac5e5702908a27ed90e45071e31cd816135ba9053f8d4efe9d598611ce4f4562765f0413fa5a7c40663536d5c0dbfcb2662ae24aabf2ab9c,16.01075,9373,6.149439881
87840e4d3db1e4e6262c86f580eafda6f5a5b61747333e5df138f0b9516adbc6ec45fb4bde3ead4841e7122d8baa3aeaaf333dc293858f9aa0f033059a6ee513,13.83832667,10283,4.844692794
522a76410fd634f4ef96b2d58b58577e5a2567897ffdc8c51987297e1d9e2ec6dbf372724226aee1b1b482268c43e441db1f1395c37dbbbd5f509f09288e4684,13.24775333,11215,4.252511101
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9,12.68709,8208,5.564513158
5a5c462b583ae4198241e19901cfea4cb1f73905969357f9e2dced0fcae858e5441b69a721eefc00b66ca28f666d76c7b0db86da88d68cf727e9da98c50a1fcd,8.740746667,7269,4.328888155
963b46287d3f9b7e6e3a7fc53e070fdf00797a875f32502cd78e312a8fde75187bb7e9dc6b773d970be0928f319b4cd54ab33909bcb20f1d45056b76d3fd1443,7.474693333,5755,4.675742137
1a4ba79a68e6a08a7699b2ec09f8579a7e8fa72146ccca3c31b527f3262ca1e332020ec447057e30810c1da8df5e367cb3263490485a67df359f975b665d778c,7.06254,4315,5.892269757
a437047937cec5877857dbc2e58cb51c44eb4211c2a6926e768b9c2d2f602d61aef9b14d487572703eeef2708897b9c4d571fed93ad58d799dbb6be6a14ca57f,6.711743333,3959,6.103126042
4fd9b5076ee8fce3f82ce453827e8c748d7bba75dff7d4533b2d4a63ccd018d5e4e471c5918081ad35b120abf964b40bbe5e355d3ee3baa423424b585e96036d,6.46286,4036,5.764691774
a79cbe4bac5633d9c5bc46c42709df236bc755815ce6d810efc44394a6cd447ce90233c5dfecf2af6cfc0b4bc69b2f3555f9de3c640c65b8b30a1145ca7c1769,6.4574,5106,4.552808461
141193ea68ab99201145673bce81571cf02d480166f0141b9a53241f9197ed4dfaae3ba8db319dcf040ea1dc39ff805e6af69fa6cc7c47e73ad4786735734201,6.40736,4934,4.675009323
78b6bc3b5ff48c08f9a92b8af479069455fe3554a35cc9b00c09b547dd9644d1723d7759f7144832e134a8bdc6854ac58252376c1660a798274f79ebc651041f,6.20178,4040,5.526338614
09affcd14e149fcca7f2a92715cb95a1aaf65af8afbc133ec3793b0f39173ed0f323bebadf88186d8a7a5255e4382a11f4ba0ded026777ed101aa6e3f2453163,5.89469,3867,5.487686579
a4148e70065958ab56ef852fbef21c0bedebb34fd77a6a6e3be771d7b3fb17f22fa31de772e02e8e23e0c7420750da59db3d8f4af173ac4b06251bf02c13c0a3,5.8342,4954,4.239628583
314958f441636258961266f855b6f82d7ec3599af877206d7a92b2ea142f3e56124c16cf1c132ae828698481ec454426eabcddb61570051f4b53f35b625902e1,5.663196667,5042,4.043535898
1eb61e3fe536b525532ae4912125de5136c27f484ec890af67f0a22deb2d303fb5627fa5bffa14b9ffcb4d2a5fdd1d24d36615a0e4fab5d383c4d1b23d1e779d,5.550686667,3166,6.31158307
4f825e0345c62bd12d26b459156490af677b8a3960dccf6a8b915b5cdb9cbc13eafc872cbd067c76b704e6408e59db37bed935cee2107aa23cc35ae9fbdcc955,4.7618,3170,5.407722397
49d9f280f7065108b706083ca7efa6e3341a7ecd382b65b21ed62b8c241c4013027fb1bbae80a0797edfa628c1b6ac008076386143e21561391a1f2577c17236,4.67594,2761,6.096843173
da27ba25a17ee9ea237a914eb4a5a532e95dbddf25ccc8c5a1022eb852f07245d662979a4ad7cd4c9a28f6f0913f223ed6140f390d37b8ba2b6f2e5b9c7d4f71,4.46618,2873,5.596327184
db3105debd557279a777dee8a84ecb323b3b63f83e1d939111fe3f232d72bf04767da13a8383344d428a5a9ad767c044bce3837e3623d98f38591cac317d2932,4.398086667,2472,6.404980583
71f222683626ce19e4696efb5f097e130370d37cfe239e14cdc0873323f0a68430e01748d530024d650526f8100619c641f306a88466388b69575efbe34c6823,4.32141,2701,5.75974676
753ef2d5c50c0cd943e6e9b245b851093c09e2acbfc848242c0c61effe14306da9794f76cc6727f67ff1c8d3ba6ab862fb4a99c953eb78b61774b7a4bc5e9082,4.0721,2194,6.68165907
619569cd2b9e3bdf87b6885d7f8315acb578c19c75467d2dc7af54ac7a1fe4c177b0b0aadf05f99514f1f5846a915c428c71eab3d14df8c80d5bf7c55355dc03,3.942169236,2357,6.021132478
